"Task Aware Debugger for GDB" version 11.7.0 (202212092054)
(c) 2016-2022 NXP Semiconductors, Inc.
==================================
23:23:17.155 INFO: [TadModel] DSF session ID 42 has started.
23:23:18.299 INFO: [TadState] TAD state changed: DEBUG_STARTED -> DEBUG_INIT_0 (RESUMED, USER_REQUEST)
23:23:19.102 INFO: [TadState] TAD state changed: DEBUG_INIT_0 -> DEBUG_INIT_1 (SUSPENDED, BREAKPOINT)
23:23:30.289 INFO: [TadState] TAD state changed: DEBUG_INIT_1 -> DEBUG_SUSPENDED (RESUMED, STEP)
23:23:30.292 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_SUSPENDED (SUSPENDED, STEP)
23:23:37.115 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_RESUMED (RESUMED, STEP)
23:23:37.118 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
23:23:42.859 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
23:23:42.861 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
23:23:46.433 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
23:23:46.436 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
23:23:52.804 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
23:23:52.810 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
23:23:55.370 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
23:23:55.372 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
23:23:58.886 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
23:23:58.893 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
23:28:25.999 INFO: [TadModel] DSF session ID 42 has ended.
